xtb_T1,xtb_S1
2.6860000000000004,3.565
2.8280000000000003,3.569
2.995,3.741
3.403,4.2330000000000005
2.705,4.095
2.805,4.059
3.055,3.9219999999999997
3.037,3.928
2.548,2.548
2.551,3.535
4.275,4.74
2.6860000000000004,3.821
5.912000000000001,6.192
3.628,3.633
4.82,4.859
5.051,5.921
5.063,5.852
5.046,5.881
2.9760000000000004,4.061
4.2589999999999995,4.6610000000000005
3.156,4.023
4.243,4.659
4.231,4.625
3.628,4.74
4.353,4.876
3.6889999999999996,4.498
4.129,4.779
4.378,4.803
4.379,4.702
1.422,1.422
3.8760000000000003,3.89
3.397,3.3810000000000002
3.929,3.9360000000000004
2.8819999999999997,2.878
3.092,3.0980000000000003
2.975,3.1439999999999997
3.9560000000000004,3.9610000000000003
3.023,3.035
3.6919999999999997,3.674
4.431,4.44
4.184,4.187
4.393,4.4
4.953,5.043
4.915,5.039
4.927,5.035
1.4780000000000002,1.4780000000000002
3.5469999999999997,4.122
3.695,4.275
3.931,4.388
3.7939999999999996,4.399
3.589,4.234
3.429,4.079
4.205,4.683
3.431,4.105
4.035,4.529
3.5610000000000004,4.281000000000001
7.5,7.502000000000001
7.507999999999999,7.5089999999999995
7.15,7.162999999999999
5.947,5.881
6.535,6.54
3.3560000000000003,3.9939999999999998
3.535,4.252
3.3689999999999998,4.002
3.608,4.249
3.5439999999999996,4.187
3.639,4.343999999999999
4.029,4.815
5.042,5.01
5.046,4.999
3.9730000000000003,4.803999999999999
3.945,4.774
3.965,4.796
3.398,3.988
6.8870000000000005,6.89
6.922000000000001,6.922999999999999
7.104,7.107
7.101,7.105
6.917000000000001,6.917999999999999
6.928,6.928999999999999
6.8839999999999995,6.8870000000000005
4.093999999999999,4.099
4.205,4.559
4.217,4.612
4.243,4.579
3.734,4.321000000000001
3.758,4.338
0.866,2.046
1.3630000000000002,2.191
0.777,2.0780000000000003
0.8740000000000001,2.069
1.575,2.122
3.361,4.207
3.326,4.163
2.072,2.7089999999999996
3.38,4.216
3.45,4.2780000000000005
3.466,4.289
2.727,3.7760000000000002
2.274,3.424
2.7319999999999998,3.725
2.505,3.464
2.7439999999999998,3.714
4.254,4.77
4.322,4.798
4.317,4.784
3.678,4.4239999999999995
4.322,4.787
3.542,4.563
4.336,4.763
4.862,4.906000000000001
4.333,4.92
4.814,4.957
5.041,5.023
5.058,5.069
5.03,5.062
4.502,4.9319999999999995
5.055,5.063
5.047,5.075
5.422999999999999,5.466
1.24,1.24
5.4270000000000005,5.468
5.534,5.584
7.665,7.692
7.855,7.89
7.4239999999999995,7.436
7.234,7.26
7.395,7.4110000000000005
3.6210000000000004,4.1530000000000005
3.403,3.5189999999999997
3.534,4.074
2.888,3.753
2.6319999999999997,3.5269999999999997
3.573,4.109
3.608,4.324
3.533,3.534
2.622,3.5789999999999997
2.82,3.5589999999999997
2.252,2.9160000000000004
2.614,3.611
2.9610000000000003,3.156
2.199,3.261
2.781,3.7760000000000002
2.401,3.53
2.3369999999999997,3.515
3.555,3.9819999999999998
2.745,3.7430000000000003
3.1839999999999997,3.807
3.0869999999999997,3.707
2.798,3.515
2.503,3.48
2.696,3.67
3.307,4.2010000000000005
3.674,4.019
3.1239999999999997,3.964
5.568,5.575
5.577000000000001,5.586
6.044,6.069
6.147,6.142
5.746,5.751
3.665,4.202
3.4210000000000003,3.8960000000000004
3.615,4.13
2.6289999999999996,3.4619999999999997
2.193,3.352
2.156,3.25
2.7,3.57
2.478,3.3760000000000003
2.342,3.397
2.5860000000000003,3.557
4.427,4.431
4.543,5.37
4.606,5.605
4.979,5.132000000000001
4.92,5.091
4.656000000000001,4.871
4.738,5.0760000000000005
1.876,1.881
1.735,1.735
1.722,1.722
1.516,1.7890000000000001
3.805,4.308
4.584,5.636
4.323,5.481
4.38,5.521
4.43,5.745
4.502,5.6160000000000005
3.528,4.753
4.3839999999999995,5.586
4.772,5.296
4.731,5.23
4.712,4.781000000000001
4.9830000000000005,5.047
4.811,4.875
4.74,4.888
4.96,4.959
4.74,4.888
4.98,4.978
4.886,4.963
5.047,4.976
4.846,5.181
1.672,2.089
3.779,4.499
4.414,4.89
1.69,2.0709999999999997
4.01,4.59
6.281000000000001,6.287999999999999
3.0660000000000003,3.8480000000000003
2.9539999999999997,3.49
3.23,3.958
3.0839999999999996,3.736
2.83,3.5060000000000002
