SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_Lin_T1,xtb_Lin_S1
c1(c(Br)cc(c(c1)Br)CCCCCCBr)CCCCCCBr,,4.872,4.912,3.634,5.1457,-1.238,0.2336999999999998,0.0049,0.0094,0.0045000000000000005,3.614402147431268,5.0311887215941935,3.339617815123527,4.157898796064526
c1(c(Br)cc(c(c1)Br)CCCC(F)(Cl)Cl)CCCC(F)(Cl)Cl,,4.893,4.925,3.6232,4.9283,-1.2697999999999996,0.0033000000000003027,0.0042,0.0,-0.0042,3.553166278723834,4.939630948137353,3.360891726256217,4.1714533011557
c1(cc(Br)c(cc1Br)C(CCCC(F)F)(Cl)Cl)C(CCCC(F)F)(Cl)Cl,,4.612,4.706,3.1991,4.1218,-1.4129,-0.5842,0.0096,0.0635,0.0539,3.2700620434652854,4.16388436892925,3.1485916606510624,3.9829165318256705
c1(cc(Br)c(cc1Br)C(CC(CC)(Cl)Cl)(Br)Br)C(CC(CC)(Cl)Cl)(Br)Br,,3.707,4.036,3.1707,4.1179,-0.5362999999999998,0.08190000000000008,0.0265,0.0393,0.012800000000000002,3.052654254854588,3.928903349621109,2.4652560732820525,3.410203662389187
c1(cc(Br)c(cc1Br)C(CCC(C)(Br)Br)(Br)Br)C(CCC(C)(Br)Br)(Br)Br,,3.835,4.175,3.1509,4.0312,-0.6840999999999999,-0.1437999999999997,0.0457,0.0556,0.009899999999999999,3.1555665407353226,4.068048077205679,2.5644636500861058,3.532735085074583
c1(c(Br)cc(c(c1)Br)CC(C(CC)(F)F)(Cl)Cl)CC(C(CC)(F)F)(Cl)Cl,,4.793,4.818,3.605,4.6339,-1.1880000000000002,-0.18409999999999993,0.0004,0.0,-0.0004,3.546359704880305,4.726841344275902,3.2808862373053693,4.07991409942512
c1(c(Br)cc(c(c1)Br)CC(CCCCl)(Cl)Cl)CC(CCCCl)(Cl)Cl,,4.922,4.895,3.6168,4.8709,-1.3051999999999997,-0.024099999999999788,0.0007,0.0,-0.0007,3.704945712049283,4.855804481107286,3.3773139959081724,4.1450999220692575
c1(c(Br)cc(c(c1)Br)CC(C(CC)(Br)Br)(Br)Br)CC(C(CC)(Br)Br)(Br)Br,,4.483,4.637,3.6027,3.9528,-0.8802999999999996,-0.6841999999999997,0.0349,0.0003,-0.0346,3.4636706644932556,3.9454870966983346,3.0517559554755653,3.924432609218412
c1(c(Br)cc(c(c1)Br)CC(C(Br)(Cl)Cl)(Cl)Cl)CC(C(Br)(Cl)Cl)(Cl)Cl,,4.901,4.928,3.6006,4.0946,-1.3003999999999998,-0.8334000000000001,0.0001,0.0,-0.0001,3.7133157183907235,4.0493585676462,3.3660314715540665,4.167571958411629
c1(c(Br)cc(c(c1)Br)C(C(C(C)(Br)Br)(F)F)(F)F)C(C(C(C)(Br)Br)(F)F)(F)F,,4.757,4.837,3.3526,4.3727,-1.4043999999999999,-0.4642999999999997,0.012,0.0782,0.06620000000000001,3.361141220648502,4.366009734018992,3.2575736744950285,4.094728644397855
c1(c(Br)cc(c(c1)Br)C(C(CCF)(Cl)Cl)(F)F)C(C(CCF)(Cl)Cl)(F)F,,4.808,4.829,3.3259,4.2774,-1.4821,-0.5515999999999996,0.0028,0.0725,0.0697,3.2590965503317895,4.3287610331621815,3.2958399063893777,4.085412745058804
