SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_ML_S1fL,xtb_Lin_T1,xtb_Lin_S1,xtb_Lin_S1fL
c1(c(Br)cc(c(c1)Br)CCCCCCBr)CCCCCCBr,,4.872,4.912,3.634,5.1457,-1.238,0.2336999999999998,0.0049,0.0094,0.0045000000000000005,3.578580340589571,4.909336102906835,-0.006379811953069818,3.339617815123527,4.157898796064526,-0.022457150343394627
c1(cc(Br)c(cc1Br)C(CC(Cl)Cl)(Cl)Cl)C(CC(Cl)Cl)(Cl)Cl,,4.664,4.769,3.2031,4.1452,-1.4608999999999996,-0.6238000000000001,0.0085,0.0599,0.0514,3.0944675344914394,4.1586294872466665,0.05635390727745739,3.1878094871624243,4.032956621280689,-0.01626269332162487
c1(c(Br)cc(c(c1)Br)CCCC(F)(Cl)Cl)CCCC(F)(Cl)Cl,,4.893,4.925,3.6232,4.9283,-1.2697999999999996,0.0033000000000003027,0.0042,0.0,-0.0042,3.6093271090086176,4.861982145889231,0.030777201696201895,3.360891726256217,4.1714533011557,-0.01913354823272718
c1(cc(Br)c(cc1Br)C(CCCC(F)F)(Cl)Cl)C(CCCC(F)F)(Cl)Cl,,4.612,4.706,3.1991,4.1218,-1.4129,-0.5842,0.0096,0.0635,0.0539,3.3153329690314983,4.195712169292927,0.05017261622854566,3.1485916606510624,3.9829165318256705,-0.016263687773648325
c1(cc(Br)c(cc1Br)C(CC(CC)(Cl)Cl)(Br)Br)C(CC(CC)(Cl)Cl)(Br)Br,,3.707,4.036,3.1707,4.1179,-0.5362999999999998,0.08190000000000008,0.0265,0.0393,0.012800000000000002,3.066776703842605,4.010205162745374,0.03658839597019495,2.4652560732820525,3.410203662389187,-0.009796840529038377
c1(cc(Br)c(cc1Br)C(CCC(C)(Br)Br)(Br)Br)C(CCC(C)(Br)Br)(Br)Br,,3.835,4.175,3.1509,4.0312,-0.6840999999999999,-0.1437999999999997,0.0457,0.0556,0.009899999999999999,3.170318005583951,4.215330021974429,0.037539762417860535,2.5644636500861058,3.532735085074583,-0.004636822210565727
c1(c(Br)cc(c(c1)Br)CC(C(CC)(F)F)(Cl)Cl)CC(C(CC)(F)F)(Cl)Cl,,4.793,4.818,3.605,4.6339,-1.1880000000000002,-0.18409999999999993,0.0004,0.0,-0.0004,3.533222942759121,4.71258145991376,0.013171342401950408,3.2808862373053693,4.07991409942512,-0.023580400748370988
c1(c(Br)cc(c(c1)Br)CC(CCCCl)(Cl)Cl)CC(CCCCl)(Cl)Cl,,4.922,4.895,3.6168,4.8709,-1.3051999999999997,-0.024099999999999788,0.0007,0.0,-0.0007,3.7181592099061747,4.930668151742773,0.0018671128402220844,3.3773139959081724,4.1450999220692575,-0.023450620643455215
c1(c(Br)cc(c(c1)Br)CC(C(CC)(Br)Br)(Br)Br)CC(C(CC)(Br)Br)(Br)Br,,4.483,4.637,3.6027,3.9528,-0.8802999999999996,-0.6841999999999997,0.0349,0.0003,-0.0346,3.58305783397525,3.9175329913801074,0.01914579226727524,3.0517559554755653,3.924432609218412,-0.005792585073449935
c1(c(Br)cc(c(c1)Br)CC(C(Br)(Cl)Cl)(Cl)Cl)CC(C(Br)(Cl)Cl)(Cl)Cl,,4.901,4.928,3.6006,4.0946,-1.3003999999999998,-0.8334000000000001,0.0001,0.0,-0.0001,3.6878871521052967,4.0743175439810795,0.03759421913888915,3.3660314715540665,4.167571958411629,-0.019718996281779717
c1(c(Br)cc(c(c1)Br)C(C(C(C)(Br)Br)(F)F)(F)F)C(C(C(C)(Br)Br)(F)F)(F)F,,4.757,4.837,3.3526,4.3727,-1.4043999999999999,-0.4642999999999997,0.012,0.0782,0.06620000000000001,3.3874036880759215,4.3987979198974925,0.03712982914692019,3.2575736744950285,4.094728644397855,-0.01688870687265346
c1(c(Br)cc(c(c1)Br)C(C(CCF)(Cl)Cl)(F)F)C(C(CCF)(Cl)Cl)(F)F,,4.808,4.829,3.3259,4.2774,-1.4821,-0.5515999999999996,0.0028,0.0725,0.0697,3.255576320578334,4.305265544033678,0.09119630665228187,3.2958399063893777,4.085412745058804,-0.018277104170536504
c1(c(cc(c(c1)Br)C(C(CC(Cl)Cl)(Br)Br)(F)F)Br)C(C(CC(Cl)Cl)(Br)Br)(F)F,,4.779,4.858,3.3422,4.2736,-1.4367999999999999,-0.5843999999999996,0.0087,0.062,0.0533,3.225231974953352,4.254737479337553,0.11291530508494295,3.2707549266749822,4.10769006383398,-0.017626237478299497
c1(cc(Br)c(cc1Br)C(CC(C(Cl)Cl)(Cl)Cl)(F)F)C(CC(C(Cl)Cl)(Cl)Cl)(F)F,,4.897,4.896,3.3827,4.4687,-1.5143000000000004,-0.4272999999999998,0.0032,0.0648,0.061599999999999995,3.439770227767874,4.455045881786932,0.06863368952518707,3.362672509043359,4.1421244706515505,-0.018110791911485086
c1(c(cc(c(c1)Br)C(CC(CF)(Br)Br)(F)F)Br)C(CC(CF)(Br)Br)(F)F,,4.902,4.912,3.3934,4.4941,-1.5086,-0.4178999999999995,0.0045,0.061,0.0565,3.4513097137079165,4.501829182182381,0.02937447624411368,3.3620427186443784,4.157898796064526,-0.022631859442736088
c1(cc(Br)c(cc1Br)C(C(C(C)(Br)Br)(Cl)Cl)(Cl)Cl)C(C(C(C)(Br)Br)(Cl)Cl)(Cl)Cl,,4.508,4.667,3.0642,3.684,-1.4438,-0.9829999999999997,0.0127,0.0273,0.014600000000000002,2.9106080996129275,3.4869408735960854,0.025202819559323502,3.068289282544619,3.9531564056368245,-0.017164736888343562
c1(c(cc(c(c1)Br)C(C(CCCl)(Cl)Cl)(Cl)Cl)Br)C(Cl)(Cl)C(CCCl)(Cl)Cl,,4.492,4.626,3.009,3.6643,-1.483,-0.9617000000000004,0.0141,0.0464,0.032299999999999995,2.943828200304764,3.7443705555053737,0.09264980349654897,3.0555438490570848,3.9118142891304495,-0.015369710777769127
c1(cc(Br)c(cc1Br)C(CC(CF)(Cl)Cl)(Cl)Cl)C(CC(CF)(Cl)Cl)(Cl)Cl,,4.57,4.679,3.2052,4.1532,-1.3648000000000002,-0.5258000000000003,0.0124,0.06,0.047599999999999996,3.1145613826140215,4.150312457443127,0.03356834543090712,3.1141932902633136,3.962240991015574,-0.018389196551739997
c1(cc(Br)c(cc1Br)C(CCC(F)(F)F)(Cl)Cl)C(CCC(F)(F)F)(Cl)Cl,,4.59,4.68,3.1664,4.0435,-1.4236,-0.6364999999999998,0.0108,0.0645,0.0537,3.1618846578021156,3.979470967566118,0.061707962111977044,3.13213757629311,3.9592926388898593,-0.0149508589895082
c1(cc(Br)c(cc1Br)C(CCC(Cl)(F)F)(Cl)Cl)C(CCC(Cl)(F)F)(Cl)Cl,,4.469,4.609,3.1666,4.0435,-1.3024000000000004,-0.5655000000000001,0.016,0.0663,0.0503,3.063915779741218,3.9629170687218815,0.07814843827201011,3.0412752738084845,3.899195138634859,-0.012788799621839802
c1(cc(Br)c(cc1Br)C(CC(CCl)(F)F)(Br)Br)C(CC(CCl)(F)F)(Br)Br,,3.865,4.133,3.163,4.1049,-0.7020000000000004,-0.028100000000000236,0.0272,0.0484,0.0212,3.0898483743041885,3.91042908228713,-0.03671429466573592,2.5849264271294428,3.4955812028828137,-0.01043795608686455
c1(cc(Br)c(cc1Br)C(CCC(Cl)(F)F)(Br)Br)C(CCC(Cl)(F)F)(Br)Br,,3.867,4.166,3.1434,4.0175,-0.7235999999999998,-0.1485000000000003,0.0396,0.0572,0.017599999999999998,3.098740486072338,4.019759847170679,0.045638098144440566,2.5886993809782686,3.5279510297630754,-0.006622467039376419
c1(c(Br)cc(c(c1)Br)CC(C(CF)(Br)Br)(F)F)CC(C(CF)(Br)Br)(F)F,,4.882,4.873,3.6173,4.4149,-1.2646999999999995,-0.45809999999999995,0.0001,0.0,-0.0001,3.690545196307875,4.359476648325199,-0.04185294208044636,3.3515450828538405,4.125362609428809,-0.02192483359643845
c1(c(Br)cc(c(c1)Br)CC(C(C(F)F)(Br)Br)(F)F)CC(C(C(F)F)(Br)Br)(F)F,,4.895,4.893,3.6192,4.0539,-1.2757999999999994,-0.8391000000000002,0.0001,0.0,-0.0001,3.6828402851974946,4.323968617345644,-0.02471919033801383,3.3610296805321895,4.141416438022151,-0.02019552475593626
c1(c(Br)cc(c(c1)Br)CC(CC(Br)(Br)Br)(F)F)CC(CC(Br)(Br)Br)(F)F,,4.731,4.746,3.624,4.1301,-1.1069999999999998,-0.6159000000000008,0.0058,0.0,-0.0058,3.592032449800758,4.1452524460530835,0.053833017994255855,3.238192917349091,4.013483962450427,-0.017373647844531787
c1(c(Br)cc(c(c1)Br)CC(C(CF)(Cl)Cl)(Cl)Cl)CC(C(CF)(Cl)Cl)(Cl)Cl,,4.802,4.861,3.5956,4.1253,-1.2063999999999995,-0.7356999999999996,0.0005,0.0,-0.0005,3.5033315863056975,4.244159021756071,0.02637488357014356,3.2910310736333113,4.116309618869416,-0.021602528152813234
c1(c(Br)cc(c(c1)Br)CC(C(CCl)(F)F)(Br)Br)CC(C(CCl)(F)F)(Br)Br,,4.727,4.884,3.6027,4.1505,-1.1243000000000003,-0.7335000000000003,0.0002,0.0,-0.0002,3.6677946474579364,4.408588982149638,-0.03681681870321988,3.235020536488914,4.134722987632712,-0.0218825132038016
c1(c(Br)cc(c(c1)Br)CC(C(CBr)(F)F)(Br)Br)CC(C(CBr)(F)F)(Br)Br,,4.721,4.866,3.6039,4.1728,-1.1171000000000002,-0.6932,0.0002,0.0,-0.0002,3.6134022354064212,4.253756852014225,-0.03109870997529788,3.226745800735243,4.118879080046156,-0.02450998226065678
c1(c(Br)cc(c(c1)Br)CC(C(C(Br)Br)(Br)Br)(Br)Br)CC(C(C(Br)Br)(Br)Br)(Br)Br,,4.331,4.355,3.5525,3.6243,-0.7785000000000002,-0.7307000000000006,0.0163,0.0,-0.0163,3.438269151352153,3.555745650072371,0.005918040952059101,2.936484275184143,3.6833629815866207,-0.014067442258976754
