SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_Lin_T1,xtb_Lin_S1
CN1CC(C(C(C1CO)O)O)O,4381,5.378,5.39,4.8325,4.885991,-0.5455000000000005,-0.5040089999999999,0.0058,0.01889,0.013090000000000001,4.922406718548181,4.90085082184218,4.452181040398088,5.107483239401381
CCN1C2=C(C=C(C=C2)C(=O)C)C3=CC=CC=C31,2842972,3.227,3.84,3.0372,3.857388,-0.18979999999999997,0.01738799999999996,0.0328,0.000251,-0.032549,2.987879256720606,3.719038319770689,2.802917191980249,3.896141357062457
C1=CC2=C3C=CC=CN3N=C2C=C1,12665124,2.918,3.479,2.5144,3.482882,-0.40359999999999996,0.003881999999999941,0.0419,0.017585,-0.024315,2.2580781109430568,3.423859942551659,2.5619621265902763,3.6056117483319277
CCNC1=CC=C(C=C1)C,61164,3.666,4.259,3.5127,4.452703,-0.15329999999999977,0.1937029999999993,0.0619,0.029422,-0.03247799999999999,3.518804363760608,4.482966344287283,3.138514951889332,4.22306161383653
CCOC1=CN=C(O1)C(=O)O,12435504,2.925,4.312,2.9787,4.526785,0.05370000000000008,0.214785,0.4859,0.359865,-0.126035,2.952061829694313,4.3402580709168435,2.5758897948248456,4.263026625258939
C1=CC=C(C=C1)C2=NC(=NC=C2)Cl,605356,3.999,4.236,3.0964,4.097898,-0.9026000000000001,-0.13810199999999995,0.012,0.002765,-0.009235,3.138542201154847,3.99211969598901,3.395545756114028,4.206405718589531
CN1C=CC=C1C2=NNC(=C2)C(=O)O,644947,3.502,4.083,3.2034,4.184266,-0.2986,0.10126599999999986,0.0445,0.031229,-0.013270999999999998,3.148979228991816,3.8828000248361043,3.004982147708215,4.077986107845163
CN(C)N=NCC1=CC=CC=C1,153577,3.405,4.196,3.1881,4.384843,-0.21689999999999987,0.18884300000000032,0.0016,0.003842,0.002242,2.748199360229502,4.62424298535507,2.935524111996626,4.165207302327097
COC1=CC=CC=C1OC,7043,3.937,4.534,3.6593,5.020174,-0.27769999999999984,0.4861740000000001,0.0643,0.038229,-0.026070999999999997,3.4725883138635334,4.915227168516354,3.343024259051123,4.434044757386087
CC1=COC2=CC=CC=C2C1=O,66569,3.411,3.924,3.1631,3.75265,-0.2479,-0.1713499999999999,0.0,4.6e-05,4.6e-05,3.0500893108110874,3.850993278972949,2.947152522990391,3.963878862448605
CC1=CC=CC=C1C2=CC=CC=C2C,11797,4.989,5.019,3.6873,5.219885,-1.3016999999999999,0.20088499999999954,0.0002,0.007529,0.0073290000000000004,3.9340271777360423,5.007505073418733,4.152705953175277,4.81410449089501
CCCCOCC(COCCCC)O,16669,6.869,6.869,6.3437,6.432117,-0.5252999999999997,-0.4368829999999999,0.021,0.013422,-0.007578000000000001,6.613971108072184,6.700589237007702,5.581215133036364,6.253086709402017
C1=CC=C(C=C1)CN=C(N)N,16644,4.709,5.103,3.7309,5.124408,-0.9780999999999995,0.021408000000000094,0.0006,0.00122,0.00062,3.953225111312153,5.3595881574048425,3.9330067091308623,4.872025988881106
CCCCCCCCCCCCCN,40761,6.243,6.259,5.3281,5.544699,-0.9149000000000003,-0.7143010000000007,0.0132,0.01049,-0.0027100000000000006,5.2457421936049915,5.527404376780337,5.106760747830765,5.778943635169964
CC(=O)C1=CC(=CC=C1)C(F)(F)F,67682,3.912,3.914,3.182,3.680992,-0.73,-0.23300800000000033,0.0,6.2e-05,6.2e-05,3.2534086123457904,3.9282905759414737,3.329201859376347,3.956105565777422
CCNC1=NC(=NC(=N1)Cl)Cl,18926,4.338,4.907,4.1073,4.780962,-0.23069999999999968,-0.12603800000000032,0.0778,0.022088,-0.055712,3.808442701419531,4.58714361247082,3.648999149040099,4.719182890883792
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,3598,4.17,4.637,3.4446,4.560986,-0.7254,-0.0760139999999998,0.0666,0.041557,-0.02504300000000001,3.535011255629814,4.570055422168631,3.522354900430332,4.5147584739869515
CN(C)C1=CC=CC2=C1N=CC=C2,5205884,2.388,3.231,2.7669,3.067853,0.37890000000000024,-0.16314699999999993,0.2181,9.9e-05,-0.218001,2.3051670425994604,3.4114297339047646,2.145611376675956,3.4068831575116527
C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C=CN=C4,9172,3.169,3.838,2.5174,3.671771,-0.6516000000000002,-0.16622899999999996,0.0362,0.049342,0.013141999999999994,2.45886363270374,3.6295347394978585,2.762609729766037,3.897028511076427
B(C1=C(C=CC=C1O)O)(O)O,44118844,3.904,4.485,3.6209,4.790181,-0.28310000000000013,0.30518099999999926,0.0606,0.035428,-0.025172,3.464405652900427,4.729147579530227,3.315096196141759,4.394633274551819
C1=CC=C2C(=C1)C=C(C(=O)O2)C(=O)O,10752,3.002,3.908,2.6799,3.811911,-0.32209999999999983,-0.09608900000000009,0.2215,4.2e-05,-0.22145800000000002,2.5648677469898313,3.806493490115594,2.635259950970718,3.9514415877747116
CCCCCC(=O)CP(=O)(O)O,4369424,4.451,4.46,4.0145,4.574714,-0.43649999999999967,0.1147140000000002,0.0066,0.001205,-0.0053950000000000005,4.230570229031971,4.7905175401324875,3.7370673018461087,4.3749412865725485
CC1=CC(=CN1)OC(F)F,59058142,4.563,4.663,3.9815,4.818279,-0.5814999999999997,0.15527900000000017,0.0011,0.002479,0.0013789999999999998,4.217853665401997,4.7388458493411445,3.8256372246203734,4.53832548644907
C1=CC=C2C(=C1)C3=NNC4=CC=CC(=C43)C2=O,8515,2.381,3.163,2.1944,3.198131,-0.18659999999999988,0.035131000000000245,0.228,1e-05,-0.22799,2.0971424088024095,3.0758532511947343,2.1628946903109307,3.375681780926942
C1=CC=C2C(=C1)C3=C(C=C2O)C(=CC=C3)O,298916,3.125,3.766,2.6498,3.717286,-0.47520000000000007,-0.048713999999999924,0.0366,0.033965,-0.0026349999999999985,2.6562162003750402,3.660973602387103,2.728895765954165,3.841744128515987
C1=CC=C(C=C1)CCC#N,12581,5.074,5.072,3.7405,5.307156,-1.3335,0.23515599999999992,0.0001,4.7e-05,-5.300000000000001e-05,3.6262333963510476,5.265990439317031,4.21812700260546,4.855636791670213
CC1=CCCC(=CC=CCC1)C,21160126,4.046,5.274,1.8368,3.003798,-2.2092,-2.270202,0.3632,0.000594,-0.36260600000000004,3.451893813539384,5.245892541369055,3.429009596001978,5.015004479291621
