SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1,xtb_ML_S1fL,xtb_Lin_T1,xtb_Lin_S1,xtb_Lin_S1fL
CN1CC(C(C(C1CO)O)O)O,4381,5.378,5.39,4.8325,4.885991,-0.5455000000000005,-0.5040089999999999,0.0058,0.01889,0.013090000000000001,4.941643197909716,5.015092389657335,0.0031476169319686192,4.452181040398088,5.107483239401381,0.025342192998569095
C1C=CC2=CC=CN2C1=O,53632545,2.676,3.547,2.4332,3.874969,-0.24280000000000035,0.32796899999999996,0.1675,0.096492,-0.07100800000000002,2.65925347298172,3.6809910832211212,0.016492566620407684,2.3724837492692257,3.660603608987517,0.09234153909549343
CCN1C2=C(C=C(C=C2)C(=O)C)C3=CC=CC=C31,2842972,3.227,3.84,3.0372,3.857388,-0.18979999999999997,0.01738799999999996,0.0328,0.000251,-0.032549,2.8595222538522505,3.7829157185797473,-0.005286932928864667,2.802917191980249,3.896141357062457,0.03438725860407807
C1=CC2=C3C=CC=CN3N=C2C=C1,12665124,2.918,3.479,2.5144,3.482882,-0.40359999999999996,0.003881999999999941,0.0419,0.017585,-0.024315,2.3248842205451767,3.398386674974858,0.007349126590860212,2.5619621265902763,3.6056117483319277,0.03899160622226992
CCNC1=CC=C(C=C1)C,61164,3.666,4.259,3.5127,4.452703,-0.15329999999999977,0.1937029999999993,0.0619,0.029422,-0.03247799999999999,3.485204378597129,4.433632107121334,0.053408865070408595,3.138514951889332,4.22306161383653,0.04732400304657046
CCOC1=CN=C(O1)C(=O)O,12435504,2.925,4.312,2.9787,4.526785,0.05370000000000008,0.214785,0.4859,0.359865,-0.126035,2.859998228084849,4.386812325484596,0.33493863768611887,2.5758897948248456,4.263026625258939,0.2296274598151348
C1=CC=C(C=C1)C2=NC(=NC=C2)Cl,605356,3.999,4.236,3.0964,4.097898,-0.9026000000000001,-0.13810199999999995,0.012,0.002765,-0.009235,3.0875076074552292,4.091312377837254,0.11254762906644845,3.395545756114028,4.206405718589531,0.025632555797912918
CN1C=CC=C1C2=NNC(=C2)C(=O)O,644947,3.502,4.083,3.2034,4.184266,-0.2986,0.10126599999999986,0.0445,0.031229,-0.013270999999999998,3.0934050183717705,3.9007443231251795,-0.2023919421213784,3.004982147708215,4.077986107845163,0.0415280489399794
CN(C)N=NCC1=CC=CC=C1,153577,3.405,4.196,3.1881,4.384843,-0.21689999999999987,0.18884300000000032,0.0016,0.003842,0.002242,2.7683693918166132,4.549987445075393,-0.03429519354133628,2.935524111996626,4.165207302327097,0.02265292613706401
COC1=CC=CC=C1OC,7043,3.937,4.534,3.6593,5.020174,-0.27769999999999984,0.4861740000000001,0.0643,0.038229,-0.026070999999999997,3.4709711530105234,4.851764814565363,0.06034400696721234,3.343024259051123,4.434044757386087,0.049321023589886666
CC1=COC2=CC=CC=C2C1=O,66569,3.411,3.924,3.1631,3.75265,-0.2479,-0.1713499999999999,0.0,4.6e-05,4.6e-05,3.0577935606117905,3.918330183350297,-0.07959199433364618,2.947152522990391,3.963878862448605,0.020321794526651636
CC1=CC=CC=C1C2=CC=CC=C2C,11797,4.989,5.019,3.6873,5.219885,-1.3016999999999999,0.20088499999999954,0.0002,0.007529,0.0073290000000000004,4.164524612783067,4.886286847961261,0.11940200861858336,4.152705953175277,4.81410449089501,0.022599947583012703
CCCCOCC(COCCCC)O,16669,6.869,6.869,6.3437,6.432117,-0.5252999999999997,-0.4368829999999999,0.021,0.013422,-0.007578000000000001,6.426581496521445,6.614402165327849,0.015120947525033079,5.581215133036364,6.253086709402017,0.02952423853039842
C1=CC=C(C=C1)CN=C(N)N,16644,4.709,5.103,3.7309,5.124408,-0.9780999999999995,0.021408000000000094,0.0006,0.00122,0.00062,4.095569216786341,5.284648627884343,-0.018912027611887115,3.9330067091308623,4.872025988881106,0.02107951905517953
CCCCCCCCCCCCCN,40761,6.243,6.259,5.3281,5.544699,-0.9149000000000003,-0.7143010000000007,0.0132,0.01049,-0.0027100000000000006,5.153798016770301,5.456233580683145,-0.007691956662664878,5.106760747830765,5.778943635169964,0.026163631925039045
CC(=O)C1=CC(=CC=C1)C(F)(F)F,67682,3.912,3.914,3.182,3.680992,-0.73,-0.23300800000000033,0.0,6.2e-05,6.2e-05,3.2360457742106394,3.9380333661844995,-0.020043517291868894,3.329201859376347,3.956105565777422,0.020321794526651636
CCNC1=NC(=NC(=N1)Cl)Cl,18926,4.338,4.907,4.1073,4.780962,-0.23069999999999968,-0.12603800000000032,0.0778,0.022088,-0.055712,3.8061615598225367,4.696965742126462,0.050690201121775504,3.648999149040099,4.719182890883792,0.05456167714959548
C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl,3598,4.17,4.637,3.4446,4.560986,-0.7254,-0.0760139999999998,0.0666,0.041557,-0.02504300000000001,3.45492813678693,4.534207105798634,0.04349626083130774,3.522354900430332,4.5147584739869515,0.05027981414863566
CN(C)C1=CC=CC2=C1N=CC=C2,5205884,2.388,3.231,2.7669,3.067853,0.37890000000000024,-0.16314699999999993,0.2181,9.9e-05,-0.218001,2.4379002846869016,3.5120666061317936,0.12557778236055234,2.145611376675956,3.4068831575116527,0.1141343691319388
C1=CC=C2C(=C1)C=CC3=C2C=CC4=C3C=CN=C4,9172,3.169,3.838,2.5174,3.671771,-0.6516000000000002,-0.16622899999999996,0.0362,0.049342,0.013141999999999994,2.482219443286763,3.655108413698923,0.01899396707975532,2.762609729766037,3.897028511076427,0.036342591028289836
B(C1=C(C=CC=C1O)O)(O)O,44118844,3.904,4.485,3.6209,4.790181,-0.28310000000000013,0.30518099999999926,0.0606,0.035428,-0.025172,3.446600328089603,4.785642181250013,0.06300434489820705,3.315096196141759,4.394633274551819,0.04826169960294338
