SMILES,CID,xtb_T1,xtb_S1,TDDFT_T1,TDDFT_S1,T1err,S1err,xtb_S1_fL,TDDFT_S1_fL,S1fLerr,xtb_ML_T1,xtb_ML_S1
CCCCNC1=NC=C(C=C1)C(=O)O,28400380,3.318,4.313,2.4461,3.587122,-0.8719000000000001,-0.7258779999999998,0.2258,0.017197,-0.208603,3.054239811579948,4.19092013211552
CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,4929,4.687,5.083,4.2511,5.048921,-0.4359000000000002,-0.03407900000000019,0.0305,0.049489,0.018989,4.204591467217739,4.926895871255461
C1=CC(=CC=C1C=CC(=O)O)C=CC(=O)O,759280,2.882,4.108,2.1328,3.708079,-0.7492000000000001,-0.3999209999999995,1.6214,1.108469,-0.512931,1.920969113760267,3.2625860073644084
C(CN(CCN(CCO)CCO)CCO)N,44149096,5.146,5.177,4.5664,4.601522,-0.5796000000000001,-0.5754779999999995,0.0519,0.013501,-0.038399,4.804168371683752,4.833575028046586
CC(C)(C)CCCCCCCN,3034482,6.243,6.258,5.3127,5.517265,-0.9302999999999999,-0.7407349999999999,0.0137,0.035789,0.022089,5.154381473080581,5.331111136065982
CN1CC(C(C(C1CO)O)O)O,4381,5.378,5.39,4.8325,4.885991,-0.5455000000000005,-0.5040089999999999,0.0058,0.01889,0.013090000000000001,4.803357820879215,4.840541158405019
C1C=CC2=CC=CN2C1=O,53632545,2.676,3.547,2.4332,3.874969,-0.24280000000000035,0.32796899999999996,0.1675,0.096492,-0.07100800000000002,2.426958492327777,3.4815275492312483
CCN1C2=C(C=C(C=C2)C(=O)C)C3=CC=CC=C31,2842972,3.227,3.84,3.0372,3.857388,-0.18979999999999997,0.01738799999999996,0.0328,0.000251,-0.032549,2.8971495212802436,3.757856498104253
CCCCCCCCC1CO1,16993,6.978,6.985,6.6622,6.833966,-0.3157999999999994,-0.1510340000000001,0.0229,0.026048,0.0031480000000000015,6.7215886250550465,6.903433627462959
CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,3016,3.633,3.926,3.0085,3.857985,-0.6244999999999998,-0.06801499999999994,0.0813,0.04188,-0.03942,3.1405751248522997,3.8130482454274994
C1=CC2=C3C=CC=CN3N=C2C=C1,12665124,2.918,3.479,2.5144,3.482882,-0.40359999999999996,0.003881999999999941,0.0419,0.017585,-0.024315,2.3832461869671437,3.4331012448038347
CCNC1=CC=C(C=C1)C,61164,3.666,4.259,3.5127,4.452703,-0.15329999999999977,0.1937029999999993,0.0619,0.029422,-0.03247799999999999,3.4497821192349365,4.397452088456211
CCOC1=CN=C(O1)C(=O)O,12435504,2.925,4.312,2.9787,4.526785,0.05370000000000008,0.214785,0.4859,0.359865,-0.126035,2.8571460138772298,4.451276256599624
C1=CC=C(C=C1)C2=NC(=NC=C2)Cl,605356,3.999,4.236,3.0964,4.097898,-0.9026000000000001,-0.13810199999999995,0.012,0.002765,-0.009235,3.1376841045110835,4.075290966605473
