SMILES,S1-CC2,S1-PBE0-def2SVP-eV,S1-PBE0-def2TZVP-eV,S1-CAM-def2TZVP-eV,ID
C,11.78122581025214,11.70682086562447,11.15281637419175,11.15480607168663,1
N,7.21699418130848,7.3031533618481905,7.02586539644233,6.90770370588069,2
O,7.797082159252651,7.92878424195669,7.76434385300176,7.5789041553245395,3
C#C,9.758787832209329,6.974861982840671,6.8127813664070205,6.66350371320287,4
C#N,8.70649446091038,8.031142640435089,7.85294117489187,7.7124043672745,5
C=O,4.18820302055645,4.04233822101488,4.0170955667325305,3.9957022369527198,6
CC,10.23522840770447,10.14622373117133,9.54935421134987,9.65910540270859,7
CO,7.257025142491369,7.56159906613049,7.19902622243479,7.10830396239677,8
CC#C,7.439300970806859,6.841351702673079,6.71789086427018,6.63500358234623,9
CC#N,8.69826274059889,7.8902825613976,7.78172894370887,7.72530420308444,10
CC=O,4.5096621615030505,4.352527216837649,4.34665826230133,4.34680248271603,11
NC=O,5.886260441856019,5.79763427588297,5.73982311447949,5.71990328195553,12
CCC,9.763644250588861,9.620974885631862,9.05248658285341,9.242405004692039,13
CCO,7.257246371165239,7.54442976181745,7.191910169482301,7.145403983793369,14
COC,7.458709773257601,7.77027648221174,7.37544370865957,7.50580426939291,15
C1CC1,8.92948344018169,9.1233725493624,8.626971052130811,8.6750048857596,16
C1CO1,8.06425428708026,8.40173114593422,8.19178703922952,8.21360459471974,17
CC(=O)C,4.633609811834059,4.46892887411197,4.48074923372358,4.50790240032972,18
CC(=O)N,5.8766420286514895,5.76719125113773,5.73834417494384,5.76110324483946,19
NC(=O)N,6.72761240867692,6.64650856184343,6.56436415111218,6.5959037952371204,20
CC(C)C,9.550540628346269,9.39016154069209,8.86815847082534,9.13100507466791,21
CC(C)O,7.27841058096547,7.53061126917727,7.19248324154524,7.231304111814601,22
C(#C)C#C,5.59261135068742,4.8457789946349905,4.79120571759852,4.77040260306302,23
C(#C)C#N,6.09035110452183,5.25405936945897,5.19762728175681,5.18210290651332,24
N#CC#N,6.76995960414269,5.77037906653058,5.69013863738736,5.70330324010957,25
O=CC#C,4.021041491701521,3.7360344687413303,3.76244993432058,3.8660020968731104,26
O=CC#N,4.04608250951728,3.7655773404076496,3.7631737575339796,3.8471021475836698,27
O=CC=O,2.94125317862499,2.5580497406634497,2.57901884473285,2.75100141714861,28
CC#CC,8.08811705131932,6.6943089216688,6.63166392734696,6.61980356697882,29
CCC#C,7.3816952554658295,6.79243295434881,6.65370189516908,6.59600366107145,30
CCC#N,8.60927194187924,7.809612464264171,7.68770920634003,7.66400426821517,31
NCC#N,6.78267984471923,6.4783061969767495,6.3684311937525795,6.50150364251026,32
OCC#C,6.84388209066609,6.31060479396566,6.13165746397585,6.16440338941846,33
OCC#N,7.258713881913311,6.936876502520609,6.79500171041441,6.90380376817601,34
CCC=O,4.42873927047291,4.2763742119382195,4.26527332171617,4.2787024192366605,35
CNC=O,5.9459856530651605,5.850825758078219,5.80833760756563,5.79640323219221,36
COC=O,5.99920407454542,5.8576536423153005,5.80706874003026,5.77810329425072,37
OCC=O,4.2815460104321605,4.10981051751932,4.09648808868291,4.13140221839784,38
CCCC,9.53485461739272,9.49931108801892,8.91697436006139,9.14860513542712,39
CCCO,7.2482791267387805,7.571730142092179,7.2064190153151095,7.1507039479766,40
CCOC,7.41375545365364,7.756001654410331,7.332147651710669,7.517104074941649,41
OCCO,7.078042437682861,7.231688336768481,6.85860182484115,6.96430396002867,42
CC1CC1,8.49394159738355,8.591482217669,8.11127095861443,8.2605045293522,43
C[C@H]1CO1,8.072625873982611,8.44135175922019,8.111509602583661,8.24060456114951,44
CN1CC1,7.197433811365309,7.419077731184051,7.0947573116326,7.307204050703329,45
OC1CC1,6.85107406342179,7.11748835378725,6.73164105629887,6.76670376025234,46
C1CCC1,8.96764606670924,9.16411753765505,8.58872325392439,8.76890489297284,47
C1COC1,6.998080653265399,7.473643661142789,7.017113122067969,7.12610402693863,48
CC(=NO)C,6.45426492596025,6.19533268186383,6.22437268687663,6.3142035014834095,49
[nH]1cccc1,6.3728576720279095,6.45216338961548,5.9734678054852095,6.14070334934542,50
[nH]1ccnc1,6.74043142663183,6.61068393871796,6.3649130319758696,6.5357037451154305,51
o1cccc1,6.72159678469999,6.58376370168726,6.31046438314682,6.292103491671569,52
o1ccnc1,6.70978350005212,6.45451880831292,6.44882319038823,6.47830347583685,53
CC(C)(C)C,9.227267031314351,9.28102233369688,8.76100243058925,9.06180512644096,54
CC(C)(C)O,7.20842259062348,7.46202820336565,7.1314627677437,7.252204098930539,55
CC(=O)C#C,4.17951197182984,3.92462524642275,3.94313253522462,4.06140225504029,56
CC(=O)C#N,4.24962214135334,4.00056192070013,3.99315606634829,4.0925021629573894,57
NC(=O)C#C,5.1718420321784,4.87504213311959,4.86726538739938,5.010902661818809,59
CC(=O)C=O,2.98058888856343,2.6697517172164797,2.67150712456597,2.8409016208228404,60
NC(=O)C=O,3.5331914487196703,3.25094883178389,3.2327484875627404,3.36830179956725,62
CC(C)C#C,7.37895425124456,6.80767133778881,6.66461720364995,6.61160368400416,63
CC(C)C#N,8.5907420676162,7.808454891350709,7.6871663389299805,7.6734041738857295,64
C[C@@H](N)C#N,7.095872434763621,6.97167416744782,6.81536073491823,6.932103895249999,65
C[C@@H](O)C#C,7.16520898421355,6.56493667894714,6.42124824709759,6.38070353470158,66
C[C@@H](O)C#N,7.65427619307267,7.407412204432751,7.30798882745049,7.38780421454133,67
CC(C)C=O,4.420266457166281,4.26129909689222,4.2592342959361,4.27620250801053,68
C[C@@H](O)C=O,4.37356108403667,4.2482430676520195,4.21919245019361,4.2382023335350105,69
CN(C)C=O,5.900459077740231,5.8345484434244,5.77402621033855,5.7677030975529195,70
CC(=O)CO,4.89256736253155,4.766347016156059,4.7660357177515005,4.79130259017896,71
