,SMILES,UMAP_0,UMAP_1
1,C1=CC=C2C(=C1)N=C(C(=N2)N)N,-0.39403632,3.326118
2,C1=CC(=CC(=C1)N)C(=O)[O-],2.5246792,0.083743066
3,C[N]C,4.756474,-1.0064341
4,C=CC(=O)NCNC(=O)N,6.7039566,1.054847
5,C1=CC=C2C(=C1)C=CC3=C2C4=C(N3)C=CC5=CC=CC=C54,-1.4455419,2.7747934
6,C1=CC=C(C=C1)C=C(C#N)C#N,3.0724077,-1.8278109
7,CCCCCCCCCCCCCCCC(=O)OC(C)C,7.7860327,0.8978598
8,CCCCC1(N=N1)C2=CC=CC=C2,2.331879,0.8287138
9,CC(C(C(=O)O)N)O,5.764948,0.5901776
10,C[O+]1CCCC1,5.083284,3.5064232
11,CC1CC2CCC3C2(C(=C1)C(=O)O3)O,4.20596,7.8329835
12,CN1C2=CC=CC=C2C3=C1C4=CC=CC=C4C=C3,-1.1864523,3.642467
13,CC(=O)N1CCCC1=O,4.277897,4.419856
14,CP(=S)(N1CC1)N2CC2,1.6879342,0.5168173
15,C1CC[CH]CC1,4.5754423,7.300114
16,COC(=O)CCC1=CC=CC=C1,5.105485,-0.69606864
17,C1=CC=C2C(=C1)C3=CC=CC=C3C4=C2NC=N4,-1.1512452,3.1201656
18,CN1C2=CC3=CC=CC=C3N=C2N=C1N,-0.9523308,3.468435
19,C1=CC=C2C(=C1)C(=CN2)CC#N,-2.0992079,1.8368555
20,CC(CC(C)(C)OOC(C)(C)C)O,-0.03906196,0.040744197
21,C(C(C(F)(F)F)O)F,3.7519197,-2.1352258
22,C1=CC=C(C=C1)C=CC2=CC(=CC=C2)C#N,2.5121958,-1.6808308
23,C1=C(NC(=O)N1S)O,0.23728046,4.139033
24,C1=CC=C(C=C1)C2=CC(=O)C=CC2=O,1.4542092,5.505379
25,CC1=C2C=CC(=C2C=C(C=C1)C(=C)C)C,1.1643488,0.34973893
26,C1=CC2=C(C=C1O)OC(=O)C(=C2)C(=O)O,-1.1271353,1.5391097
27,CCOC(=O)C1=C(N(N=C1)C2=CC=CC=C2)N,1.118786,2.7094307
28,C1C=C(C=C(O1)C2=CC=CC=C2)C3=CC=CC=C3,2.14761,5.7411184
29,CC(=O)NC1=C(NC(=O)N(C1=O)C)N,0.37363443,3.6226056
30,CCC1=CC=CC=C1C2=CC=CC=C2,0.29475278,1.4880129
31,CCOC(=O)CC=CC=C,7.817848,0.38228557
32,C1=CSSC=C1,-1.0235156,3.1097121
33,C1=CC=C2C3=C4C(=CC2=C1)C5=CC=CC=C5C6=CC7=CC=CC=C7C(=C64)C=C3,-1.3092643,2.554519
34,C(CF)N(C(=O)NC(C=O)C(C(C(CO)O)O)O)N=O,5.372178,-2.330643
35,C1=CC=C2C(=C1)OC3=CC=CC=C3O2,0.54975677,6.8097863
36,C1C2=C(C=CC(=C2)F)NC1=O,-0.06921206,5.624016
37,CC(C)C1=CC(=O)C(=CC=C1)O,2.8419304,-0.54786146
38,C1=CC=C2C(=C1)C(=O)C2=O,-1.2322419,2.7257814
39,C1CCC2=C(C1)C=CC3=C2CCCC3,-0.03952486,5.207203
40,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,3.0144308,-2.0936124
41,CC1=CC(=C(C(=C1C(=O)OC)O)C)O,-0.22615212,1.1259593
42,C1=CC=C(C=C1)NC2=C(C=CC=N2)N,2.1718273,2.0555174
43,CCCOC1=CC=C(C=C1)O,2.2196872,-1.3014873
44,C1=C(C(=C(C(=C1F)F)F)F)F,-0.38305908,0.9873108
45,C=CCOC(=O)C=CC(=O)OCC=C,6.2347007,-0.67908454
46,C1=CC=C2C(=C1)C=CC=C2C(=O)C#N,-0.28517723,1.0316001
47,CCOCCOC(=O)C(=C)C,7.124562,0.63038677
48,CC1=CC2=C(C=C1)SC3=C2C=CC4=CC=CC=C43,-0.9808829,2.435571
49,CC(=O)N(C1=CC2=C(C=C1)C3=CC=CC=C3C2)OC(=O)C,0.25271133,6.0291405
50,CCC(N=C=NCC)N(C)C,3.0779989,-0.7225997
51,C1=CC=C(C=C1)CCCC(C(=O)O)N,5.789706,-0.17390889
52,CC(=O)C(C(=O)C(C)(C)C)C(=O)C(C)(C)C,3.9238665,-2.585383
53,CC1CCC(=C(C)C)C12CCC(=CC2)C,4.8696675,8.814718
54,CCN1C(=NC2=C(N=CN=C21)N)C3=CC=CC=C3,-0.69320863,4.139166
