,SMILES,UMAP_0,UMAP_1,global_cluster
0,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,-1.7247121,1.5093083,-1
1,COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC)OC,-1.4275647,1.2166489,-1
2,CC(=O)OC1=C(C=C2C=CC(=O)OC2=C1)OC,-1.6089256,1.0996534,-1
3,CC1=CC(=O)OC2=CC(=C(C(=C12)OC)OC)OC,-1.3580663,1.5501889,-1
4,CC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=CC=C3,0.31071374,2.8887248,-1
5,CC1=CC=C(C=C1)C2=NN=C(O2)C3=CC=C(C=C3)C,0.23433279,3.2424202,-1
6,CC1=C(C(=C(C#N)C#N)OC1(C)C)C#N,2.7933803,7.5630455,1012
7,CC1=C(C(=CC#N)OC1(C)C)C#N,2.7707298,7.1223817,-1
8,CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)N,-1.216054,2.5832129,-1
9,C1=CC=C2C(=C1)N=C(S2)C3=CC=C(C=C3)N,-2.2134285,3.0845363,-1
10,C1=CC=C(C=C1)C2=NC3=CC=CC=C3S2,-2.2181141,3.0595407,-1
11,CC1=CC2=C(C=C1)[N+](=C(S2)C3=CC=C(C=C3)N(C)C)C,-0.63258046,1.4808829,-1
12,CCN(CC)C1=CC2=C(C=C1)C(=CC(=O)O2)C,-1.6878281,1.7914597,-1
13,CCCN=C(C)N(C)C,7.0427604,2.1512206,-1
14,CCCCN=C(C)N(C)C,7.615771,2.0873468,768
15,CC(=NCCCN(C)C)N(C)C,8.23028,2.30965,-1
16,C1=CN(C(=N1)[N+](=O)[O-])CCNS(=O)(=O)N,2.330529,4.10393,-1
17,CCOC(=O)N,7.043703,0.7237465,-1
18,CCOC(=O)NBr,6.5617776,0.8899673,-1
19,CCOC(=O)NCl,6.6144567,0.9969422,-1
20,CCOC(=O)NF,6.6068015,1.0384859,-1
21,CC(=CCCC(=CCO)C)C,8.757893,-0.93609595,-1
22,CC(=CCCC(=CCCC(=CCO)C)C)C,8.763591,-0.98529273,-1
23,CC(C=C(C)CCC=C(C)C)O,8.822021,-0.92756295,-1
24,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,1.314345,-1.7527461,-1
25,CC1=CC(=CC(=C1)O)O,-0.027440926,0.54879117,-1
26,C1=CC=C(C=C1)C=CC2=CC(=CC(=C2)O)O,1.905382,-2.1284661,-1
27,C1=CC=C(C=C1)CC2=C(C=C(C=C2)O)O,1.2367047,1.0207622,5408
28,CC(C1=CC=CC=C1)C2=C(C=C(C=C2)O)O,2.8387287,-0.9817866,-1
29,CSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O,-1.4726366,5.2889805,59
30,C1=CC=C(C=C1)O,3.1900232,-1.3183132,1374
31,C1=CC(=CC=C1O)O,2.7610848,-0.7402854,-1
32,C1=CC(=CC=C1O)F,2.5013943,-1.1610634,-1
33,C1=CC=C(C(=C1)O)F,0.16921392,1.0161058,5216
34,B(C1=CC=C(C=C1)O)(O)O,1.2559073,-0.28491357,3579
35,CC(=CC1C(C1(C)C)C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C,5.163018,-0.2461079,-1
36,C1=CC=C2C(=C1)C=CC(=O)C2=O,0.44259682,6.3256197,-1
37,CC(=O)C1=CC=CC=C1,3.375362,-1.5253435,-1
38,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,2.884384,-1.150859,3586
39,CCC(=O)C1=CC=CC=C1,3.6466713,-1.3009394,-1
40,C1=CC=C(C=C1)C2=C(C2=O)C3=CC=CC=C3,-0.58913714,3.3865423,-1
41,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,3.6242504,-1.6629895,2610
42,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,2.5069828,-2.2190526,-1
43,C1CCC(CC1)C(=O)C2=CC=CC=C2,4.3362184,1.0183938,-1
44,CC(=O)C(=O)C1=CC=CC=C1,3.6369433,-1.6943083,-1
45,C1=CC=C(C=C1)C(=O)CC(=O)C2=CC=CC=C2,3.9456072,-1.1037047,-1
46,CN(C)[Si](C)(C)CC[Si](C)(C)N(C)C,10.201113,1.4796522,-1
47,CC[Si](N(C)C)(N(C)C)N(C)C,4.184345,-2.421577,-1
48,CC[Si](CC)(CC)N(C)C,10.142341,1.9336123,-1
49,CC[Si](CC)(N(C)C)N(C)C,9.940229,1.927906,-1
50,C1=CC=C(C=C1)PC2=CC=CC=C2,3.533773,-1.6636204,-1
51,CP(C1=CC=CC=C1)C2=CC=CC=C2,3.6774158,-1.6894532,-1
52,C=CP(C1=CC=CC=C1)C2=CC=CC=C2,3.9197826,-1.6330152,1329
53,C1=CC=C(C=C1)[P+](=S)C2=CC=CC=C2,3.488512,-1.6607215,-1
54,C1=CC(=CC=C1N)SC2=CC=C(C=C2)N,2.3331833,-0.21613301,-1
55,C1=CC(=CC=C1N)SC(F)(F)F,2.4842896,-0.51593095,-1
56,CS(=O)(=O)C1=CC=C(C=C1)N,2.1933973,-0.44300643,-1
57,CSC1=CC=C(C=C1)N,2.2931027,-0.2670521,-1
58,CSC1=CC=CC(=C1)N,1.388013,0.32474735,-1
59,C1=CC=C(C=C1)SC2=CC=C(C=C2)N,2.0458965,-0.25300655,4984
60,C1=CC(=CC=C1N)SC#N,2.3848412,-0.27690652,-1
61,C1=CC(=CC=C1N)S,1.9136631,-0.072893575,-1
62,CSC1=CC=CC=C1N,0.36515933,0.5461575,4867
63,C1=CC=C2C(=C1)NC(=N2)CCCC3=NC4=CC=CC=C4N3,-2.4858067,3.576483,-1
64,C1=CC=C2C(=C1)NC(=N2)CCCCC3=NC4=CC=CC=C4N3,-2.4714396,3.5888715,-1
65,C1=CC=C2C(=C1)NC(=N2)CC3=NC4=C(N3)C=C(C=C4)C(=N)N,-2.3207183,3.3130465,-1
66,C1=CC=C2C(=C1)NC(=N2)C3=NC4=CC=CC=C4N3,-2.4389396,3.557217,-1
67,C1=CC=C2C(=C1)NC(=N2)SSC3=NC4=CC=CC=C4N3,-2.5293567,3.659351,-1
68,CC1=NC(=CC=C1)C2=NC3=CC=CC=C3N2,-1.9756175,3.6081777,-1
69,CC(C)[Si](C#C)(C(C)C)C(C)C,10.014309,1.4285066,-1
70,CC[Si](CC)(CC)C#C,10.13147,1.4250042,-1
71,CC(C)(C)[Si](C)(C)C#C,9.941856,1.121244,-1
72,CC(C)[Si](CC#C)(C(C)C)C(C)C,9.123531,2.5178974,-1
73,CC[Si](CC)(CC)C#CC#C,10.119782,1.1841762,47
74,CC(C)[Si](C#CC#C)(C(C)C)C(C)C,9.776075,1.2381288,-1
75,C[Si](C)(C)C(C#C)[Si](C)(C)C,9.89678,1.5996118,-1
76,COC1=CC=C(C=C1)N=C(N)N=C(N)N,2.199756,-1.3667074,-1
77,CN(C)C=NC1=CC=C(C=C1)OC,1.5101699,-1.2895931,-1
78,COC1=CC=C(C=C1)N=C,1.9860429,-1.4122947,-1
79,CC(=NC1=CC=C(C=C1)OC)N(C)C,2.2224872,-1.4692607,-1
