SMILES,xtbS1,xtbT1,S1err,T1err,S1fLerr
c1ccccc1,5.173,5.181,0.42890660860492796,-1.0215822347341441,0.011821095555296613
c1ccc2ccccc2c1,4.321,3.444,0.06940780418947905,-0.5866373481695449,0.05181324687353243
c1cc[nH]c1,4.99,4.954,-0.10834841373378405,-0.6604442082509682,-0.007656566670620045
c1c[nH]cn1,5.274,4.995,0.05716656020389923,-0.5692948608443439,0.016937097581859933
c1nnc[nH]1,6.129,5.951,-0.032717551835592634,-0.7536755370702789,-0.015313158246525163
c1ccoc1,5.518,4.368,0.2811844464949498,-0.5664526316572507,0.0015881777215299264
c1cocn1,5.873,4.472,0.21746465357580966,-0.486441769040014,-0.011770711751017323
c1nnco1,5.809,5.451,-0.011185483322988427,-0.8195028698724679,-0.04340251818812953
c1ccsc1,5.371,4.347,0.013423522529714235,-0.786750679736521,0.026219588513213182
c1cscn1,5.683,4.328,-0.12755646359932932,-0.7301931148656772,-0.015872495921897704
c1nncs1,5.192,5.192,-0.32225167839221774,-1.028665795520515,-0.035436934474800154
O=S1(=O)C=CC=C1,3.948,3.501,-0.026439211390630636,-0.2813471627077837,-0.08430378971328212
O=S1(=O)C=CN=C1,2.962,2.958,0.14311682993381625,-0.26295853973831346,-0.03438942408991445
O=S1(=O)C=NN=C1,2.733,2.733,0.47623010122822895,-0.23905596027715884,0.022507720933041053
c1ccncc1,5.231,4.995,-0.4185465188581465,-1.04026887954624,-0.013374812018995975
c1cnccn1,4.23,4.23,-0.2623860646649534,-0.8815554624903452,0.038205899426359935
c1cncnc1,4.595,4.595,-0.2583719398136275,-0.8179098492311379,-0.014191205576805355
c1cc2cc3sccc3cc2s1,4.023,3.151,-0.028783996478310016,-0.5349523627772124,0.02703167759500421
c1cc2sc3cc[nH]c3c2[nH]1,4.356,3.548,0.13619783297269855,-0.2625315275177199,0.061761490347808104
c1nncnn1,1.881,1.876,0.209385679071889,-0.5227063401647342,-0.007514083423766029
c1cnc2cccnc2c1,3.776,3.776,-0.10584664438692995,-0.7113043991262097,-0.046692224621221134
c1ccc2cnccc2c1,4.411,3.444,-0.0704287772878105,-0.6247657418480053,-0.01603163813882252
c1ccc2ncccc2c1,4.393,3.624,-0.04350467637871812,-0.7150811759718501,-0.01132458748430901
c1cc2ccncc2cn1,4.304,3.549,-0.2184242631869496,-0.648747308734386,-0.0548760863755975
c1ccc2cnncc2c1,3.584,3.584,-0.05187240254724109,-0.6961802082670219,-0.02455571481314485
c1cc2cnccc2cn1,4.24,3.365,-0.14760826574380512,-0.6134987156860505,-0.06482524623817079
c1cnc2ccncc2c1,4.256,3.645,-0.1980862062742697,-0.683026560467469,-0.07972727806138719
c1ccc2nccnc2c1,3.504,3.504,0.06237349469660895,-0.6855255273708366,-0.01384599359958659
c1cnc2cnccc2c1,4.115,3.595,-0.06814953229497756,-0.6687655333871915,-0.03369176546012095
c1cnc2ncccc2c1,3.756,3.756,-0.10641087594336666,-0.7073047549211016,-0.02998837259940638
c1ccc2ncncc2c1,3.893,3.58,-0.04466716922139987,-0.6795795142835719,-0.04359940220037288
c1cc2cc3occc3cc2o1,4.37,3.355,0.0068589483904139045,-0.5036811338833214,0.04104069629032879
c1cc2cc3[nH]ccc3cc2[nH]1,3.896,2.842,0.10459616023155012,-0.2356984360983465,-0.023315053811829783
c1cc2sc3ccsc3c2s1,4.356,3.081,-0.00966915485180921,-0.5102545784919728,0.06698114708979588
c1cc2oc3ccoc3c2o1,4.43,3.081,-0.028235288915036,-0.5864465839119113,0.0742117766268286
c1cc2oc3ccsc3c2s1,4.394,3.078,-0.014971099940939998,-0.5389956840502595,0.06491390456504462
c1cc2[nH]c3cc[nH]c3c2[nH]1,4.296,3.675,0.3077868911513139,-0.05581953938933826,0.038789196011144736
c1cc2[nH]c3ccsc3c2s1,4.494,3.238,0.0014775636025869455,-0.4429112557157646,0.07932801445564837
c1cc2oc3cc[nH]c3c2[nH]1,4.322,3.523,0.0947954849725304,-0.3042150554491439,0.05612858113387076
c1cc2sc3ccoc3c2o1,4.463,3.14,-0.008562300730186023,-0.5653386901311449,0.08287767594230308
c1cc2[nH]c3ccoc3c2o1,4.596,3.261,-0.0013170747112139947,-0.4760479928639903,0.08328142358119713
c1ccc2c(c1)Cc1ccccc1-2,4.688,3.827,-0.15802200634429386,-0.7056950949303312,0.014638714287123484
c1ccc2c(c1)[nH]c1ccccc12,4.027,3.509,0.012223703977424527,-0.3925583335097901,-0.03358807967817428
c1ccc2c(c1)oc1ccccc12,4.432,4.039,-0.07412225922243094,-0.6113931892775113,0.00612281891253762
c1ccc2c(c1)sc1ccccc12,4.124,3.712,-0.08751076642812305,-0.6002768676850118,-0.009289327336655235
O=S1(=O)c2ccccc2-c2ccccc21,4.655,3.885,-0.28647498045415587,-0.8050735262142016,0.008119190885267098
O=S1(=O)c2ccsc2-c2sccc21,3.758,2.717,-0.16007699700475095,-0.32622696143838337,-0.1624835303367536
O=S1(=O)C=Cc2cc3c(cc21)C=CS3(=O)=O,4.127,3.213,-0.1326731945124378,-0.4745818010730448,-0.04674305355190385
c1ccc2cc3ccccc3cc2c1,3.515,2.337,-0.20539313617836763,-0.5404091114922726,-0.10047700232925197
c1ccc2nsnc2c1,4.557,3.286,-0.5655474531908073,-0.9265429245397577,-0.16912192157706396
c1ccc2nc3ccccc3cc2c1,3.619,2.549,-0.12590007758480393,-0.6476290046072404,-0.07351633309040273
c1ccc2nc3ccccc3nc2c1,2.837,2.577,0.09256578721869418,-0.6292628591052861,-0.04707359844875432
c1cc2cc3cnccc3cc2cn1,3.503,2.327,-0.2013565089367825,-0.5878836359407539,-0.07436004922940584
c1cc2sccc2s1,4.87,3.505,0.027989237234922592,-0.5378681676249684,0.030879899475450466
c1cc2ccc3cccc4ccc(c1)c2c34,3.777,2.781,-0.06484301432969476,-0.6304849254872741,0.07730541622963456
c1ccc2c(c1)ccc1ccccc12,3.982,3.555,-0.12819341438074766,-0.6445701107202456,0.008569406292394905
O=C1c2ccccc2-c2ccccc21,2.909,2.612,0.07359889156696744,-0.32632251156965364,0.0068919133611096235
c1ccc2c(c1)c1ccccc1c1ccccc21,3.959,3.937,-0.19248510854799633,-0.6998879427458375,0.004444557254179271
c1ccc2c(c1)ccc1cccnc12,4.029,3.545,-0.14841437630595855,-0.7008246199440629,-0.006206627447457484
c1ccc2c(c1)cnc1ccccc12,4.019,3.674,-0.12666120036960518,-0.6727080638944145,-0.02589310236310931
c1cnc2c(c1)ccc1cccnc12,4.153,3.62,-0.14230310966925047,-0.7263157968967044,-0.007754799371831915
c1ccc2c(c1)nnc1ccccc12,2.733,2.733,-0.037638920995651484,-0.6575432662415901,-0.032972146986431396
c1ccc2c(c1)ccc1ncccc12,4.022,3.588,-0.12691090214278164,-0.6782108138834062,-0.005809815053167741
c1cnc2ccc3ncccc3c2c1,4.134,3.718,-0.17239437737984856,-0.7401822858886481,-0.01737387377780563
c1cnc2c(c1)cnc1ccccc12,4.082,3.759,-0.19517637507165064,-0.7196274187039404,-0.04898534376298497
c1cnc2c(c1)ccc1ncccc12,4.144,3.67,-0.19329200869596913,-0.7328626253755794,-0.02727721327497227
c1cc2cc3ccncc3cc2cn1,3.561,2.376,-0.19731876561702708,-0.5778293178461354,-0.07476801554732358
c1ccc2cc3cnccc3cc2c1,3.493,2.336,-0.192256681565715,-0.5582584355079051,-0.08433575663301932
c1cnc2cc3cccnc3cc2c1,3.652,2.483,-0.14077334729669036,-0.6674433856229028,-0.047243032326378644
c1cnc2ccc3ccncc3c2c1,4.111,3.626,-0.17899994904898073,-0.7096641654151368,-0.02180210348326759
c1ccc2cc3ncccc3cc2c1,3.514,2.38,-0.1533034963875735,-0.594601086588075,-0.07171259254446091
c1cnc2cc3ncccc3cc2c1,3.654,2.486,-0.13500592727352326,-0.6343077275832164,-0.06113226730696508
c1cc2occc2o1,4.948,3.488,0.08964454922948181,-0.5260553339700513,0.05049096313830163
