SMILES,xtbS1,xtbT1
N,6.488,6.487
O,7.583,7.583
C#C,8.423,8.423
C#N,9.706,9.684
C=O,4.242,4.242
CC,9.147,9.133
CO,6.933,6.925
CC#C,7.315,7.313
CC#N,8.974,8.955
CC=O,4.275,4.273
NC=O,5.875,5.875
CCC,8.756,8.748
CCO,7.165,7.158
COC,6.529,6.527
C1CC1,7.713,7.71
C1CO1,6.457,6.457
CC(=O)C,4.341,4.338
CC(=O)N,5.634,5.506
NC(=O)N,5.63,5.567
CC(C)C,8.647,8.633
CC(C)O,7.451,7.45
C(#C)C#C,6.079,6.08
C(#C)C#N,6.726,6.731
N#CC#N,8.049,8.049
O=CC#C,4.101,4.101
O=CC#N,3.807,3.807
O=CC=O,1.996,1.996
CC#CC,6.755,6.752
CCC#C,7.391,7.391
CCC#N,8.817,8.814
NCC#N,5.867,5.858
OCC#C,6.678,6.677
OCC#N,6.779,6.779
CCC=O,4.379,4.378
CNC=O,5.93,5.769
COC=O,6.262,6.261
OCC=O,4.315,4.312
CCCC,8.691,8.685
CCCO,7.308,7.296
CCOC,6.548,6.548
OCCO,6.92,6.915
CC1CC1,7.422,7.421
C[C@H]1CO1,6.694,6.69
CN1CC1,6.095,6.069
OC1CC1,6.795,6.792
C1CCC1,8.16,8.157
C1COC1,6.463,6.461
CC(=NO)C,5.853,5.157
[nH]1cccc1,4.99,4.954
[nH]1ccnc1,5.274,4.995
o1cccc1,5.518,4.368
o1ccnc1,5.873,4.472
CC(C)(C)C,8.925,8.924
CC(C)(C)O,7.398,7.398
CC(=O)C#C,4.225,4.223
CC(=O)C#N,3.992,3.991
NC(=O)C#C,5.467,5.231
CC(=O)C=O,2.099,2.099
NC(=O)C=O,2.819,2.819
CC(C)C#C,7.532,7.504
CC(C)C#N,8.758,8.743
C[C@@H](N)C#N,6.24,6.235
C[C@@H](O)C#C,7.455,7.437
C[C@@H](O)C#N,7.571,7.56
CC(C)C=O,4.409,4.408
C[C@@H](O)C=O,4.506,4.505
CN(C)C=O,5.696,5.422
CC(=O)CO,4.559,4.555
CCC(=O)C,4.387,4.384
CCC(=O)N,5.669,5.509
CNC(=O)C,5.811,5.393
CNC(=O)N,5.424,5.421
COC(=N)C,6.199,5.793
COC(=O)C,5.983,5.983
COC(=O)N,6.274,5.956
NC(=O)CO,5.807,5.577
CC(C)CO,7.279,7.266
C[C@@H](O)CO,6.936,6.932
CCC(C)C,8.646,8.633
CC[C@@H](C)O,7.469,7.464
COC(C)C,6.728,6.724
CC1(C)CC1,7.243,7.243
CC1(C)CO1,6.946,6.945
CC1(O)CC1,6.672,6.671
N=C1CCO1,5.959,5.889
O=C1CCC1,4.142,4.133
O=C1CCN1,6.007,5.5
O=C1CCO1,5.868,5.864
O=C1CNC1,4.145,4.135
O=C1COC1,4.214,4.203
CC1CCC1,8.108,8.102
C[C@H]1CCO1,6.66,6.656
CC1COC1,6.677,6.674
OC1CCC1,6.922,6.915
OC1COC1,6.534,6.532
C[C@H]1C[C@H]1C,7.246,7.245
C[C@H]1C[C@H]1O,6.125,6.124
C[C@H]1CN1C,6.162,6.131
C[C@H]1O[C@H]1C,6.791,6.776
O[C@H]1C[C@H]1O,6.096,6.091
C1[C@H]2C[C@@H]1C2,7.689,7.682
C1[C@H]2C[C@@H]1O2,6.154,6.15
C#CCC#C,7.101,7.101
C#CCC#N,7.03,7.03
N#CCC#N,8.764,8.721
O=CCC#C,4.374,4.372
O=CCC#N,4.514,4.513
N=CNC=O,5.686,4.978
N=COC=O,5.654,5.654
O=CNC=O,5.336,5.336
CC#CC#C,5.952,5.953
CC#CC#N,6.401,6.399
CC#CC=O,4.083,4.083
CC#CCO,6.692,6.687
CCC#CC,6.792,6.789
CO/C=N/C,6.194,5.936
CCCC#C,7.564,7.563
CCCC#N,8.612,8.608
CNCC#N,5.65,5.633
COCC#C,6.535,6.534
COCC#N,6.466,6.465
OCCC#C,6.962,6.96
OCCC#N,6.833,6.831
CCCC=O,4.384,4.383
CCNC=O,5.967,5.758
CCOC=O,6.241,6.241
COCC=O,4.33,4.327
OCCC=O,4.419,4.418
CCCCC,8.694,8.689
CCCCO,7.378,7.365
CCCOC,6.566,6.566
CCOCC,6.554,6.554
COCCO,6.608,6.608
OCCCO,6.876,6.872
C#CC1CC1,6.755,6.755
C#C[C@H]1CN1,6.395,6.388
C#C[C@H]1CO1,6.774,6.769
N#CC1CC1,7.484,7.483
N#C[C@H]1CN1,6.508,6.501
N#C[C@H]1CO1,6.735,6.729
O=CC1CC1,4.52,4.513
O=C[C@H]1CN1,4.185,4.189
O=C[C@H]1CO1,4.342,4.339
O=CN1CC1,5.347,5.195
CCC1CC1,7.506,7.504
CC[C@H]1CO1,6.76,6.756
CCN1CC1,6.089,6.065
COC1CC1,6.466,6.462
OCC1CC1,6.95,6.943
OC[C@H]1CN1,6.445,6.439
OC[C@H]1CO1,6.875,6.87
C1CC=CC1,6.121,5.235
C1CN=CO1,6.313,5.712
C1OCC=C1,5.852,4.986
C1CCCC1,8.457,8.45
C1CCOC1,6.444,6.442
C1COCO1,6.441,6.433
C1[C@H]2CC[C@@H]12,6.573,6.572
C1[C@H]2CO[C@@H]12,5.851,5.849
C1C[C@H]2O[C@@H]12,6.179,6.17
[nH]1cccn1,5.973,5.424
[nH]1ccnn1,6.07,5.127
N1[CH]N=C[N]1,6.483,5.594
[nH]1cnnc1,6.129,5.951
[nH]1nccn1,6.488,5.094
o1cccn1,6.143,4.716
o1ccnn1,5.523,4.151
o1cncn1,5.888,5.398
o1cnnc1,5.809,5.451
o1cnnn1,5.225,5.225
o1nccn1,5.682,5.232
o1ncnn1,5.242,4.939
o1nnnn1,5.051,5.051
C/C(=N\O)/C#C,5.495,4.389
C/C(=N\O)/CO,5.932,5.13
CC/C(=N/O)/C,6.015,5.277
ON=C1CCC1,5.844,5.304
ON=C1CNC1,5.344,5.103
ON=C1COC1,5.843,5.201
O=c1[nH]cc[nH]1,4.107,4.107
O=c1[nH]cco1,4.581,4.368
O=c1occo1,5.3,4.748
Cc1ccc[nH]1,4.99,4.661
Cc1ccco1,5.494,4.203
Cc1cnco1,5.805,4.265
Cc1ncco1,5.85,4.316
Nc1ccc[nH]1,4.135,4.037
Nc1ccco1,4.034,3.556
Nc1cnco1,4.323,3.466
Nc1ncco1,4.396,3.786
Oc1ccc[nH]1,4.335,4.335
Oc1cnc[nH]1,4.505,4.337
Oc1ncc[nH]1,4.679,4.496
Cc1c[nH]cc1,5.039,4.936
Cc1c[nH]cn1,5.227,4.928
Cc1cocc1,5.607,4.361
Cc1cocn1,5.865,4.402
Nc1c[nH]cc1,4.346,4.275
Nc1c[nH]cn1,4.446,4.191
Nc1cocc1,4.658,3.832
Nc1cocn1,4.694,3.569
Oc1c[nH]cc1,4.506,4.506
OC1=N[CH]N[CH]1,4.565,4.327
OC1=[N]=CO[CH]1,4.92,3.781
[CH].N1=CC=C[CH]1.[H].[H],0.495,0.495
Cn1ccnc1,5.685,5.036
c1ccccc1,5.173,5.181
c1ccncc1,5.231,4.995
c1cnccn1,4.23,4.23
c1cncnc1,4.595,4.595
C1=[N]=CN=C[N]1,4.773,4.773
CC(C)(C)C#C,7.768,7.766
CC(C)(C)C#N,9.121,9.12
CC(C)(N)C#N,6.439,6.435
CC(C)(O)C#C,7.367,7.366
CC(C)(O)C#N,7.603,7.603
CC(C)(C)C=O,4.468,4.466
CC(C)(O)C=O,4.41,4.404
CC(C)(C)CO,7.366,7.351
CC(C)(O)CO,7.33,7.323
CCC(C)(C)C,8.746,8.739
CCC(C)(C)O,7.469,7.468
COC(C)(C)C,6.905,6.903
CC#CC(=O)C,4.152,4.151
CC#CC(=O)N,5.433,5.25
CC#CC(C)C,6.855,6.846
