,Smiles,aug-cc-TDDFT,GP_aug-cc-TDDFT,aug-cc-IP,aug-cc-EA,TDDFT energy,DZP_IP,DZP_EA,RS-TDDFT,ID,xTB_IP,xTB_EA,xTB_opticalgap,xTB_osc_strength,xTB_GSolv,fp,n_rings,DZP_callibrated_IP,DZP_callibrated_EA,DZP_Callibrated_Opticalgap,aug-cc-callibrated_IP,aug-cc-callibrated_EA,aug-cc-callibrated_opticalgap,GP-aug-cc-callibrated_opticalgap,RS-callibrated_opticalgap
64,c1ccccc1,5.395972004334074,5.399218057234219,-8.226492260109643,0.18151269341612863,5.482001105514513,-8.169029572262918,1.0777149627333953,5.513604173836737,0,-7.7622,-0.2359,5.121,0.0,-0.191,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257206739D0>,1,-8.049416358151436,1.224723002302249,5.04694195640317,-8.205058592231214,0.42189708932449776,4.848080132491356,4.817991992372203,5.326383817902862
70,c1ccc2ccccc2c1,4.313014791690766,4.34031628532633,-7.06001597395641,-0.38203733363602693,4.388116993508371,-6.999261243659889,-0.13881418638725904,4.655996952502833,247,-6.7352,-1.3047,4.2780000000000005,0.0025,-0.31,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257144EBDC0>,2,-7.032883300396553,0.10915089704174563,4.1784913539062645,-7.099517125703176,-0.4556053622802849,4.068108582602791,4.046519799841592,4.545662826106804
5,c1cc[nH]c1,4.8868463065857775,4.723427055660424,-7.200607272658449,0.13545255468811615,6.305290042155848,-7.091061671268325,2.4961761349436236,5.85466703434556,1316,-6.9123,-0.4308,5.016,0.0,-0.185,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x0000025720600538>,1,-7.208178338885736,1.0212939198590678,4.938771952533449,-7.290161131274857,0.26188097048301934,4.75093065118851,4.721901149886184,5.229140989743209
23,c1c[nH]cn1,5.351966278122776,5.1509559894763335,-7.856639842360339,0.0418769577007962,6.63169815340979,-7.730232213601611,2.2090873198876477,6.3322453245629955,1785,-7.5778,-0.3868,5.316,0.0008,-0.259,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257205F76F8>,1,-7.866895719543842,1.067219418204373,5.247829106446938,-8.006556307491419,0.29800569715836595,5.028500597768071,4.9964464141319525,5.506977641627927
113,c1nnc[nH]1,6.072998306782839,5.874146978544153,-8.936653002716504,-0.09239718404841915,6.0388778944647346,-8.693111358055548,2.6179457422604004,6.662893693232246,2254,-8.6981,-0.41700000000000004,6.3020000000000005,0.0,-0.326,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257205EA8B8>,1,-8.975777885661461,1.0356978261582772,6.263596952309275,-9.212533040647564,0.2732109983948326,5.940780488859561,5.898785182619713,6.4201341041557
81,c1ccoc1,5.568958640726733,5.543657180656887,-7.799194328007415,0.26304900769635614,6.361513238983468,-7.72948837630251,1.7390197485867263,6.149798217221437,2345,-7.5621,-0.2124,5.544,0.0,-0.147,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257205E5D88>,1,-7.851355730248076,1.2492513934639462,5.48271254342119,-7.989655624896979,0.4411909774351943,5.239453757168537,5.205100814958737,5.718133497060313
104,c1cocn1,6.12971162538817,6.186318500269453,-8.576334086030757,0.2458165896320071,6.412116212299598,-8.495460261495223,1.4017773507880473,6.419987416911324,2814,-8.3579,-0.2394,5.9289999999999985,0.0004,-0.155,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257205D87D8>,1,-8.639045123978686,1.2210698376611453,5.8793358909435005,-8.846315701881412,0.41902353152077704,5.595668521945639,5.557433904074138,6.0746905336457
128,c1nnco1,6.003080631620375,5.8551941396593294,-9.853246124351838,0.24153220717586146,5.957725835135876,-9.665470431308123,1.0772172062728584,6.552298414626077,3283,-9.5536,-0.3949,5.989,0.0,-0.159,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x00000257207251F0>,1,-9.822558831045399,1.0587649514635327,5.9411473217262,-10.133458770554803,0.2913554633840408,5.651182511261553,5.6123429569232925,6.130257864022644
136,c1ccsc1,5.605708954998454,5.660081772818468,-7.845256442327081,0.22550665764121594,5.807686204230075,-7.793287342974252,0.9563084478544228,5.785753970684558,3374,-7.2389,-0.3987,5.3610000000000015,0.0,-0.184,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002572076F810>,1,-7.531449708567084,1.05479865842462,5.294187679533963,-7.64173838830315,0.2882356006257154,5.070136089755007,5.0376282037688185,5.548653139410636
107,c1cscn1,5.354492627431052,5.279327075785255,-9.122051381971287,0.11715835431858886,5.362742550873366,-9.081267269073871,0.5841477123410819,5.64166257868033,3843,-7.8564,-0.7928,5.725,0.0016,-0.221,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000002572076D378>,1,-8.142656293926034,0.6434523198363299,5.669177026282329,-8.306462687797858,-0.035327008073241184,5.406920958271538,5.370743124387017,5.885761610364092
